BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8509350;8509253;1.9372;
8503307;8503016;4.9894;
8504136;8504137;2.8258;3.7119
8502211;8502119;2.8001;
8502031;8502030;2.3384;2.3717
8501115;8501116;3.3529;3.5119
8503103;8503104;2.7374;2.8426
8502204;8516187;0.5919;0.646
8506362;8506361;0.9039;
8502120;8502121;2.5551;3.2714
8501686;8501685;5.0879;
8504383;8504382;2.0687;
8504411;8504410;2.3278;
8505306;8505305;3.2234;4.821
8507292;8507284;3.0781;
8500201;8500200;2.1868;2.2182
8503464;8518243;1.3318;
8508185;8508186;1.9809;
8530709;8530708;1.0187;
8503414;8503415;1.6289;1.65
8503223;8503222;3.3262;3.3706
8501285;8501286;0.6011;
8501575;8501576;4.9296;
8502128;8502116;2.5731;2.6191
8506197;8506198;2.1957;2.3868
8501475;8517485;1.2199;
8508102;8508103;5.801;6.0211
8503423;8503424;1.7836;2.227
8504185;8504186;2.8162;
8505201;8505119;15.4474;15.7624
8501603;8501604;4.1545;4.2175
8505219;8505218;1.891;2.1064
8501425;8501424;3.2756;3.3861
8505113;8505114;6.3247;6.333
8508305;8508329;1.445;
8504296;8504298;5.0281;
8508391;8508390;3.0381;
8506007;8506008;2.2085;2.2292
8506285;8506271;1.937;
8501498;8501499;0.6224;
8503104;8503105;2.8712;2.9571
8509077;8509078;4.0697;
8501493;8501727;0.6503;
8506019;8506018;4.5114;4.5159
8505177;8505176;1.2845;
8508312;8508311;2.5983;
8505394;8530789;0.3975;
8507284;8507293;1.6683;
8509063;8509064;3.0369;
8502011;8502007;2.1276;2.1296
8505406;8505405;2.9455;3.0056
8506398;8506397;2.1174;
8508320;8508319;2.6365;
8509264;8509269;1.2956;
8505499;8505497;1.6889;
8508263;8508264;4.1103;
8502028;8502017;4.6284;
8509250;8509256;4.1671;
8505350;8503280;4.9349;
8504293;8504292;2.3862;
8508057;8508071;0.3791;
8507272;8507271;2.1483;
8501117;8501116;3.5712;4.0458
8509373;8509356;3.7522;
8500120;8500109;3.2309;3.263
8508306;8508308;7.4405;
